timestamp,pitch_hz,confidence,voiced
1.6400,102.01,0.2107,false
1.6560,101.80,0.3354,false
1.6720,101.63,0.3174,false
1.6880,652.63,0.3697,false
1.7040,653.48,0.6167,false
1.7200,653.64,0.8138,false
1.7360,653.54,0.9345,true
1.7520,653.62,0.9506,true
1.7680,653.62,0.9633,true
1.7840,653.56,0.9750,true
1.8000,653.60,0.9870,true
1.8160,653.78,0.9913,true
1.8320,653.94,0.9948,true
1.8480,653.84,0.9975,true
1.8640,653.75,0.9983,true
1.8800,653.71,0.9989,true
1.8960,653.71,0.9989,true
1.9120,653.87,0.9977,true
1.9280,654.07,0.9939,true
1.9440,654.32,0.9805,true
1.9600,654.42,0.9580,true
1.9760,654.24,0.9690,true
1.9920,654.17,0.9755,true
2.0080,654.60,0.9760,true
2.0240,654.61,0.9843,true
2.0400,654.36,0.9852,true
2.0560,654.25,0.9868,true
2.0720,654.12,0.9812,true
2.0880,654.17,0.9806,true
2.1040,654.15,0.9822,true
2.1200,654.06,0.9741,true
2.1360,654.05,0.9371,true
2.1520,654.02,0.9150,true
2.1680,653.97,0.9680,true
2.1840,653.97,0.9856,true
2.2000,653.83,0.9903,true
2.2160,653.70,0.9891,true
2.2320,653.67,0.9818,true
2.2480,653.58,0.9729,true
2.2640,653.47,0.9555,true
2.2800,653.45,0.9414,true
2.2960,653.45,0.9027,true
2.3120,653.48,0.8698,false
2.3280,653.15,0.7052,false
2.3440,651.71,0.4762,false
2.3600,652.31,0.2952,false
2.3760,1989.75,0.3062,false
2.3920,2008.05,0.2931,false
2.4080,191.93,0.4467,false
2.4240,192.44,0.5232,false
2.4400,735.18,0.4195,false
2.4560,743.18,0.7657,false
2.4720,744.71,0.9274,true
2.4880,745.34,0.9232,true
2.5040,745.64,0.8828,false
2.5200,746.06,0.8696,false
2.5360,746.12,0.8944,false
2.5520,746.03,0.9425,true
2.5680,746.20,0.9692,true
2.5840,746.38,0.9830,true
2.6000,746.41,0.9860,true
2.6160,746.46,0.9848,true
2.6320,746.51,0.9803,true
2.6480,746.51,0.9826,true
2.6640,746.51,0.9882,true
2.6800,746.53,0.9913,true
2.6960,746.53,0.9919,true
2.7120,746.60,0.9927,true
2.7280,746.62,0.9919,true
2.7440,746.62,0.9907,true
2.7600,746.66,0.9878,true
2.7760,746.68,0.9862,true
2.7920,746.73,0.9893,true
2.8080,746.76,0.9952,true
2.8240,746.77,0.9976,true
2.8400,746.77,0.9990,true
2.8560,746.77,0.9989,true
2.8720,746.77,0.9984,true
2.8880,746.77,0.9978,true
2.9040,746.77,0.9962,true
2.9200,746.78,0.9967,true
2.9360,746.78,0.9982,true
2.9520,746.78,0.9984,true
2.9680,746.78,0.9983,true
2.9840,746.78,0.9965,true
3.0000,746.78,0.9941,true
3.0160,746.78,0.9959,true
3.0320,746.78,0.9971,true
3.0480,746.78,0.9963,true
3.0640,746.78,0.9963,true
3.0800,746.78,0.9966,true
3.0960,746.78,0.9956,true
3.1120,746.78,0.9950,true
3.1280,746.79,0.9918,true
3.1440,746.78,0.9912,true
3.1600,746.78,0.9916,true
3.1760,746.78,0.9900,true
3.1920,746.78,0.9809,true
3.2080,746.78,0.9712,true
3.2240,746.80,0.9486,true
3.2400,746.85,0.8930,false
3.2560,746.93,0.8056,false
3.2720,747.20,0.5272,false
3.2880,249.11,0.6715,false
3.3040,249.07,0.6227,false
3.3200,101.53,0.3087,false
3.3360,101.41,0.4733,false
3.3520,101.45,0.5205,false
3.3680,101.31,0.5275,false
3.3840,101.22,0.5114,false
3.4000,101.34,0.5873,false
3.4160,101.57,0.6642,false
3.4320,101.72,0.6320,false
3.4480,102.12,0.4217,false
3.4640,549.58,0.5233,false
3.4800,550.05,0.7720,false
3.4960,550.18,0.9106,true
3.5120,550.23,0.9773,true
3.5280,550.23,0.9905,true
3.5440,550.23,0.9957,true
3.5600,550.23,0.9974,true
3.5760,550.23,0.9982,true
3.5920,550.23,0.9986,true
3.6080,550.22,0.9987,true
3.6240,550.22,0.9989,true
3.6400,550.22,0.9991,true
3.6560,550.22,0.9993,true
3.6720,550.22,0.9991,true
3.6880,550.22,0.9983,true
3.7040,550.22,0.9970,true
3.7200,550.22,0.9936,true
3.7360,550.24,0.9806,true
3.7520,550.24,0.9517,true
3.7680,550.24,0.8916,false
3.7840,550.23,0.8552,false
3.8000,550.25,0.7926,false
3.8160,550.31,0.7976,false
3.8320,550.32,0.7613,false
3.8480,550.31,0.4811,false
3.8640,1665.31,0.6665,false
3.8800,1665.31,0.7141,false
3.8960,1665.35,0.5701,false
3.9120,550.37,0.5988,false
3.9280,550.38,0.7625,false
3.9440,550.51,0.6100,false
3.9600,1665.69,0.4733,false
3.9760,1665.32,0.6750,false
3.9920,1665.17,0.7480,false
4.0080,1665.27,0.6943,false
4.0240,1665.36,0.6203,false
4.0400,1665.34,0.5998,false
4.0560,1665.53,0.4639,false
4.0720,551.75,0.6069,false
4.0880,551.12,0.8183,false
4.1040,550.83,0.9339,true
4.1200,550.66,0.9656,true
4.1360,550.63,0.9676,true
4.1520,550.82,0.9600,true
4.1680,552.35,0.9540,true
4.1840,561.44,0.9483,true
4.2000,576.98,0.9680,true
4.2160,582.04,0.9869,true
4.2320,582.52,0.9961,true
4.2480,582.61,0.9984,true
4.2640,582.63,0.9984,true
4.2800,582.64,0.9977,true
4.2960,582.64,0.9973,true
4.3120,582.64,0.9980,true
4.3280,582.64,0.9987,true
4.3440,582.64,0.9989,true
4.3600,582.64,0.9990,true
4.3760,582.64,0.9996,true
4.3920,582.64,0.9998,true
4.4080,582.64,0.9998,true
4.4240,582.64,0.9995,true
4.4400,582.64,0.9996,true
4.4560,582.64,0.9997,true
4.4720,582.64,0.9996,true
4.4880,582.64,0.9997,true
4.5040,582.64,0.9996,true
4.5200,582.64,0.9985,true
4.5360,582.64,0.9935,true
4.5520,582.64,0.9756,true
4.5680,582.64,0.9095,true
4.5840,582.65,0.8303,false
4.6000,582.65,0.8239,false
4.6160,582.64,0.6859,false
4.6320,582.56,0.4095,false
4.6480,582.53,0.2430,false
4.6640,1779.40,0.3272,false
4.6800,1776.94,0.3181,false
